,0,1,2,3,4,5,6,7,8,9
106,2019,12,23,0,10,0,13,keiiku,A3,613.0
107,2019,12,23,0,10,28,47,keiiku,A4,-73.0
108,2019,12,23,0,11,15,27,keiiku,A5,327.0
109,2019,12,23,0,11,54,19,keiiku,A6,259.0
110,2019,12,23,0,12,31,55,keiiku,A7,115.00000000000001
111,2019,12,23,0,13,10,46,keiiku,A8,46.0
112,2019,12,23,0,13,53,49,keiiku,A9,229.00000000000003
113,2019,12,23,0,14,31,7,keiiku,A10,67.0
114,2019,12,23,0,15,9,21,keiiku,A11,-39.0
115,2019,12,23,0,15,53,23,keiiku,A12,203.0
116,2019,12,23,0,16,43,39,keiiku,A13,219.0
117,2019,12,24,1,8,34,4,keiiku,A1,244.00000000000003
118,2019,12,24,1,9,10,18,keiiku,A2,18.0
119,2019,12,24,1,9,52,45,keiiku,A3,165.0
120,2019,12,24,1,10,33,49,keiiku,A4,229.00000000000003
121,2019,12,24,1,13,57,33,keiiku,A9,453.0
122,2019,12,24,1,14,37,39,keiiku,A10,459.00000000000006
123,2019,12,24,1,15,17,38,keiiku,A11,458.00000000000006
124,2019,12,24,1,16,2,2,keiiku,A12,722.0
125,2019,12,24,1,16,41,38,keiiku,A13,98.0
126,2019,12,26,3,8,39,30,keiiku,A1,570.0
127,2019,12,26,3,9,8,55,keiiku,A2,-65.0
128,2019,12,26,3,9,50,52,keiiku,A3,52.0
129,2019,12,26,3,11,11,7,keiiku,A5,67.0
130,2019,12,26,3,11,59,49,keiiku,A6,589.0
131,2019,12,26,3,12,32,0,keiiku,A7,120.00000000000001
132,2019,12,26,3,13,11,0,keiiku,A8,60.00000000000001
133,2019,12,26,3,13,56,3,keiiku,A9,363.0
134,2019,12,26,3,14,30,40,keiiku,A10,40.0
135,2019,12,26,3,15,14,19,keiiku,A11,259.0
136,2019,12,26,3,15,51,27,keiiku,A12,87.0
137,2019,12,26,3,16,41,30,keiiku,A13,90.0
138,2019,12,27,4,8,33,35,keiiku,A1,215.0
139,2019,12,27,4,9,12,17,keiiku,A2,137.0
140,2019,12,27,4,9,48,54,keiiku,A3,-66.0
141,2019,12,27,4,10,33,19,keiiku,A4,199.0
142,2019,12,27,4,11,19,31,keiiku,A5,571.0
143,2019,12,27,4,11,52,6,keiiku,A6,126.00000000000001
144,2019,12,27,4,12,31,40,keiiku,A7,100.0
145,2019,12,27,4,13,13,28,keiiku,A8,208.0
146,2019,12,27,4,13,53,16,keiiku,A9,196.0
147,2019,12,27,4,14,34,51,keiiku,A10,291.0
148,2019,12,27,4,15,13,49,keiiku,A11,229.00000000000003
149,2019,12,27,4,15,53,40,keiiku,A12,220.0
150,2019,12,27,4,16,42,21,keiiku,A13,141.0
151,2020,1,6,0,8,32,45,keiiku,A1,165.0
152,2020,1,6,0,9,11,36,keiiku,A2,96.0
153,2020,1,6,0,10,38,57,keiiku,A4,537.0
154,2020,1,6,0,11,8,49,keiiku,A5,-71.0
155,2020,1,6,0,11,50,56,keiiku,A6,56.0
156,2020,1,6,0,12,37,17,keiiku,A7,437.0
157,2020,1,6,0,14,29,55,keiiku,A10,-5.0
158,2020,1,6,0,15,11,10,keiiku,A11,70.0
159,2020,1,6,0,15,49,33,keiiku,A12,-27.0
160,2020,1,6,0,16,41,29,keiiku,A13,89.0
161,2020,1,7,1,8,34,25,keiiku,A1,265.0
162,2020,1,7,1,9,9,4,keiiku,A2,-56.0
163,2020,1,7,1,9,51,2,keiiku,A3,62.00000000000001
164,2020,1,7,1,10,32,3,keiiku,A4,123.00000000000001
165,2020,1,7,1,11,12,12,keiiku,A5,132.0
166,2020,1,7,1,11,54,29,keiiku,A6,269.0
167,2020,1,7,1,12,33,26,keiiku,A7,206.0
168,2020,1,7,1,13,9,31,keiiku,A8,-29.000000000000004
169,2020,1,7,1,13,53,35,keiiku,A9,215.0
170,2020,1,7,1,14,33,58,keiiku,A10,238.00000000000003
171,2020,1,7,1,15,10,30,keiiku,A11,30.000000000000004
172,2020,1,7,1,15,50,41,keiiku,A12,41.0
173,2020,1,7,1,16,45,31,keiiku,A13,331.0
174,2020,1,8,2,8,38,57,keiiku,A1,537.0
175,2020,1,8,2,9,9,47,keiiku,A2,-13.0
176,2020,1,8,2,9,52,37,keiiku,A3,157.0
177,2020,1,8,2,10,31,37,keiiku,A4,97.0
178,2020,1,8,2,11,13,37,keiiku,A5,217.0
179,2020,1,8,2,11,54,7,keiiku,A6,247.00000000000003
180,2020,1,8,2,12,28,30,keiiku,A7,-90.0
181,2020,1,8,2,13,7,34,keiiku,A8,-146.0
182,2020,1,8,2,13,52,34,keiiku,A9,154.0
183,2020,1,8,2,14,30,7,keiiku,A10,7.0
184,2020,1,8,2,15,10,39,keiiku,A11,39.0
185,2020,1,8,2,15,48,18,keiiku,A12,-102.0
186,2020,1,8,2,16,41,26,keiiku,A13,86.0
187,2020,1,9,3,8,34,51,keiiku,A1,291.0
188,2020,1,9,3,9,10,41,keiiku,A2,41.0
189,2020,1,9,3,9,51,56,keiiku,A3,116.00000000000001
190,2020,1,9,3,10,30,50,keiiku,A4,50.0
191,2020,1,9,3,11,15,59,keiiku,A5,359.0
192,2020,1,9,3,11,50,23,keiiku,A6,23.0
193,2020,1,9,3,12,29,28,keiiku,A7,-32.0
194,2020,1,9,3,13,6,55,keiiku,A8,-185.0
195,2020,1,9,3,13,52,33,keiiku,A9,153.0
196,2020,1,9,3,14,30,1,keiiku,A10,1.0
197,2020,1,9,3,15,11,52,keiiku,A11,112.0
198,2020,1,9,3,16,5,26,keiiku,A12,926.0000000000001
199,2020,1,9,3,16,39,50,keiiku,A13,-10.0
200,2020,1,10,4,8,29,5,keiiku,A1,-55.0
201,2020,1,10,4,9,11,32,keiiku,A2,92.0
202,2020,1,10,4,9,54,23,keiiku,A3,263.0
203,2020,1,10,4,10,31,26,keiiku,A4,86.0
204,2020,1,10,4,11,8,56,keiiku,A5,-64.0
205,2020,1,10,4,11,52,27,keiiku,A6,147.0
206,2020,1,10,4,12,29,59,keiiku,A7,-1.0
207,2020,1,10,4,13,10,27,keiiku,A8,27.0
208,2020,1,10,4,13,57,0,keiiku,A9,420.0
209,2020,1,10,4,14,31,21,keiiku,A10,81.0
210,2020,1,10,4,15,16,17,keiiku,A11,377.0
211,2020,1,10,4,15,52,27,keiiku,A12,147.0
212,2020,1,10,4,16,40,51,keiiku,A13,51.0
213,2020,1,14,1,8,40,9,keiiku,A1,609.0
214,2020,1,14,1,9,17,35,keiiku,A2,455.0
215,2020,1,14,1,9,50,8,keiiku,A3,8.0
216,2020,1,14,1,10,36,11,keiiku,A4,371.0
217,2020,1,14,1,11,16,9,keiiku,A5,369.0
218,2020,1,14,1,11,50,26,keiiku,A6,26.0
219,2020,1,14,1,12,32,40,keiiku,A7,160.0
220,2020,1,14,1,13,13,19,keiiku,A8,199.0
221,2020,1,14,1,13,51,7,keiiku,A9,67.0
222,2020,1,14,1,14,28,50,keiiku,A10,-70.0
223,2020,1,14,1,15,18,13,keiiku,A11,493.00000000000006
224,2020,1,14,1,16,5,40,keiiku,A12,940.0000000000001
225,2020,1,14,1,16,47,10,keiiku,A13,430.0
226,2020,1,15,2,8,38,45,keiiku,A1,525.0
227,2020,1,15,2,9,12,37,keiiku,A2,157.0
228,2020,1,15,2,9,48,34,keiiku,A3,-86.0
229,2020,1,15,2,10,35,34,keiiku,A4,334.0
230,2020,1,15,2,11,14,37,keiiku,A5,277.0
231,2020,1,15,2,11,51,52,keiiku,A6,112.0
232,2020,1,15,2,12,33,45,keiiku,A7,225.0
233,2020,1,15,2,13,11,42,keiiku,A8,102.0
234,2020,1,15,2,13,51,46,keiiku,A9,106.0
235,2020,1,15,2,14,29,42,keiiku,A10,-18.0
236,2020,1,15,2,15,11,40,keiiku,A11,100.0
237,2020,1,15,2,15,51,45,keiiku,A12,105.0
238,2020,1,15,2,16,43,46,keiiku,A13,226.0
239,2020,1,16,3,8,39,32,keiiku,A1,572.0
240,2020,1,16,3,9,10,11,keiiku,A2,11.0
241,2020,1,16,3,9,52,34,keiiku,A3,154.0
242,2020,1,16,3,10,35,7,keiiku,A4,307.0
243,2020,1,16,3,11,15,23,keiiku,A5,323.0
244,2020,1,16,3,11,51,11,keiiku,A6,71.0
245,2020,1,16,3,12,30,20,keiiku,A7,20.0
246,2020,1,16,3,13,12,22,keiiku,A8,142.0
247,2020,1,16,3,13,48,15,keiiku,A9,-105.0
248,2020,1,16,3,14,30,32,keiiku,A10,32.0
249,2020,1,16,3,15,10,54,keiiku,A11,54.0
250,2020,1,16,3,15,54,22,keiiku,A12,262.0
251,2020,1,16,3,16,46,39,keiiku,A13,399.0
252,2020,1,17,4,8,35,55,keiiku,A1,355.0
253,2020,1,17,4,9,15,59,keiiku,A2,359.0
254,2020,1,17,4,9,59,43,keiiku,A3,583.0
255,2020,1,17,4,10,38,53,keiiku,A4,533.0
256,2020,1,17,4,11,15,45,keiiku,A5,345.0
257,2020,1,17,4,11,53,21,keiiku,A6,201.0
258,2020,1,17,4,12,31,58,keiiku,A7,118.00000000000001
259,2020,1,17,4,13,11,17,keiiku,A8,77.0
260,2020,1,17,4,13,51,18,keiiku,A9,78.0
261,2020,1,17,4,14,28,37,keiiku,A10,-83.0
262,2020,1,17,4,15,13,47,keiiku,A11,227.0
263,2020,1,17,4,15,54,2,keiiku,A12,242.00000000000003
264,2020,1,17,4,16,53,58,keiiku,A13,838.0
265,2020,1,20,0,8,33,33,keiiku,A1,213.0
266,2020,1,20,0,9,8,5,keiiku,A2,-115.00000000000001
267,2020,1,20,0,9,52,5,keiiku,A3,125.00000000000001
268,2020,1,20,0,10,35,24,keiiku,A4,324.0
269,2020,1,20,0,11,10,52,keiiku,A5,52.0
270,2020,1,20,0,11,51,6,keiiku,A6,66.0
271,2020,1,20,0,12,27,42,keiiku,A7,-138.0
272,2020,1,20,0,13,9,6,keiiku,A8,-54.0
273,2020,1,20,0,13,55,31,keiiku,A9,331.0
274,2020,1,20,0,14,31,28,keiiku,A10,88.0
275,2020,1,20,0,15,13,34,keiiku,A11,214.0
276,2020,1,20,0,15,50,33,keiiku,A12,33.0
277,2020,1,21,1,8,38,50,keiiku,A1,530.0
278,2020,1,21,1,9,12,28,keiiku,A2,148.0
279,2020,1,21,1,9,53,31,keiiku,A3,211.0
280,2020,1,21,1,10,29,27,keiiku,A4,-33.0
281,2020,1,22,2,10,30,53,keiiku,A4,53.0
282,2020,1,22,2,11,9,51,keiiku,A5,-9.0
283,2020,1,22,2,11,52,54,keiiku,A6,174.0
284,2020,1,22,2,12,29,4,keiiku,A7,-56.0
285,2020,1,22,2,13,13,22,keiiku,A8,202.0
286,2020,1,22,2,13,57,7,keiiku,A9,427.0
287,2020,1,22,2,14,31,25,keiiku,A10,85.0
288,2020,1,22,2,15,13,33,keiiku,A11,213.0
289,2020,1,22,2,15,50,49,keiiku,A12,49.0
290,2020,1,22,2,16,40,33,keiiku,A13,33.0
291,2020,1,23,3,11,52,8,keiiku,A6,128.0
292,2020,1,23,3,13,11,49,keiiku,A8,109.0
293,2020,1,23,3,13,55,17,keiiku,A9,317.0
294,2020,1,23,3,14,34,14,keiiku,A10,254.00000000000003
295,2020,1,23,3,15,9,59,keiiku,A11,-1.0
296,2020,1,23,3,15,50,28,keiiku,A12,28.0
297,2020,1,23,3,16,39,2,keiiku,A13,-58.00000000000001
