0,A1,29352.75
0,A2,31673.5
0,A3,34105.5
0,A4,36501.0
0,A5,38887.5
0,A6,41285.666666666664
0,A7,43645.75
0,A8,46022.25
0,A9,48520.333333333336
0,A10,50827.333333333336
0,A11,53309.25
0,A12,55676.5
0,A13,58774.333333333336
1,A1,29511.0
1,A2,31711.5
1,A3,34126.5
1,A4,36521.5
1,A5,38923.2
1,A6,41296.5
1,A7,43687.0
1,A8,46064.666666666664
1,A9,48540.333333333336
1,A10,50887.0
1,A11,53366.5
1,A12,55907.5
1,A13,58816.75
2,A1,29523.75
2,A2,31646.5
2,A3,34167.5
2,A4,36559.0
2,A5,38997.4
2,A6,41313.8
2,A7,43617.6
2,A8,46053.2
2,A9,48491.0
2,A10,50875.6
2,A11,53383.0
2,A12,55668.6
2,A13,58742.2
3,A1,29544.25
3,A2,31691.6
3,A3,34163.2
3,A4,36539.25
3,A5,38910.25
3,A6,41308.2
3,A7,43660.833333333336
3,A8,46108.5
3,A9,48525.0
3,A10,50871.0
3,A11,53377.0
3,A12,55662.4
3,A13,58740.0
4,A1,29397.0
4,A2,31711.6
4,A3,34136.25
4,A4,36489.6
4,A5,38976.6
4,A6,41368.4
4,A7,43660.2
4,A8,46181.0
4,A9,48513.4
4,A10,50874.25
4,A11,53382.2
4,A12,55758.0
4,A13,58826.8
