0,A1,30793.75
0,A2,33055.333333333336
0,A3,35665.0
0,A4,38058.75
0,A5,40341.5
0,A6,42755.5
0,A7,45059.25
0,A8,47436.333333333336
0,A9,49951.333333333336
0,A10,52194.5
0,A11,54651.5
0,A12,57096.75
0,A13,60107.666666666664
1,A1,30994.166666666668
1,A2,33174.833333333336
1,A3,35515.833333333336
1,A4,37956.333333333336
1,A5,40415.25
1,A6,42765.666666666664
1,A7,45140.333333333336
1,A8,47426.0
1,A9,50012.25
1,A10,52323.5
1,A11,54843.5
1,A12,57436.5
1,A13,60273.5
2,A1,30898.25
2,A2,32956.5
2,A3,35449.0
2,A4,37956.2
2,A5,40363.0
2,A6,42784.2
2,A7,44981.2
2,A8,47415.0
2,A9,49943.6
2,A10,52302.6
2,A11,54764.8
2,A12,57091.8
2,A13,60188.6
3,A1,31020.0
3,A2,33096.4
3,A3,35529.8
3,A4,37941.75
3,A5,40372.8
3,A6,42760.333333333336
3,A7,44983.2
3,A8,47454.8
3,A9,50042.333333333336
3,A10,52231.333333333336
3,A11,54716.8
3,A12,57243.2
3,A13,60106.8
4,A1,30879.8
4,A2,33143.0
4,A3,35607.2
4,A4,38033.8
4,A5,40501.6
4,A6,42818.6
4,A7,45056.2
4,A8,47551.2
4,A9,49993.8
4,A10,52309.2
4,A11,54767.0
4,A12,57256.4
4,A13,60400.4
